Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0,0,0,0,0,0,198964,0,0,101869448,408,0,59,0,198963,0,0,0,0,0,0,0,75.0,75.0,74.0,0.0859341431975313,22.64209357017009
0,0,0,0,0,0,204024,0,0,104460936,384,0,31,0,204025,0,0,0,0,0,0,0,77.0,75.0,77.0,0.0859341431975313,22.64209357017009
0,0,0,0,0,0,200232,0,0,102464384,432,0,93,0,200231,0,0,0,0,0,0,0,78.0,76.0,79.0,0.0859341431975313,22.636412321654536
0,0,0,0,0,0,203035,0,0,103965880,448,0,50,0,203149,0,0,0,0,0,0,0,78.0,76.0,74.0,0.0859341431975313,22.636412321654536
0,0,0,0,0,0,215588,0,0,110530432,408,0,129,0,215494,0,0,0,0,0,0,0,79.0,76.0,83.0,0.0859341431975313,22.680535238620138
0,0,0,0,0,0,202097,0,0,103498208,400,0,118,0,202097,0,0,0,0,0,0,0,81.0,77.0,83.0,0.0859341431975313,22.653791577896115
0,0,0,0,0,0,195439,0,0,99981384,400,0,136,0,195439,0,0,0,0,0,0,0,83.0,78.0,85.0,0.0859341431975313,22.668521547435056
0,0,0,0,0,0,199785,0,0,102366176,400,0,161,0,199784,0,0,0,0,0,0,0,85.0,79.0,86.0,0.0859341431975313,22.674276379893747
0,0,0,0,0,0,207222,0,0,106014944,368,0,166,0,207282,0,0,0,0,0,0,0,86.0,80.0,85.0,0.0859341431975313,22.70036895016789
0,0,0,0,0,0,195892,0,0,100492464,384,0,199,0,196506,0,0,0,0,0,0,0,85.0,81.0,86.0,0.0859341431975313,22.78456423249355
0,0,0,0,0,0,209265,0,0,107008912,408,0,182,0,208392,0,0,0,0,0,0,0,84.0,82.0,89.0,0.0859341431975313,22.71271535817022
0,0,0,0,0,0,205322,0,0,104991776,464,0,244,0,201744,0,0,0,0,0,0,0,85.0,83.0,84.0,0.0859341431975313,22.703844615981136
0,0,0,0,0,0,192896,0,0,98863384,392,0,118,0,196765,0,0,0,0,0,0,0,86.0,83.0,85.0,0.0859341431975313,22.754144053215143
0,0,0,0,0,0,204350,0,0,104443160,408,0,125,0,203570,0,0,0,0,0,0,0,86.0,84.0,86.0,0.0859341431975313,22.691633334699223
0,0,0,0,0,0,206473,0,0,105840856,416,0,199,0,207028,0,0,0,0,0,0,0,86.0,85.0,88.0,0.0859341431975313,22.723783784487985
0,0,0,0,0,0,210090,0,0,107411576,400,0,88,0,209788,0,0,0,0,0,0,0,86.0,85.0,85.0,0.0859341431975313,22.72341554552832
0,0,0,0,0,0,201326,0,0,103309472,392,0,68,0,201644,0,0,0,0,0,0,0,86.0,85.0,88.0,0.0859341431975313,22.65201813094489
0,0,0,0,0,0,206131,0,0,105309768,416,0,99,0,201159,0,0,0,0,0,0,0,86.0,85.0,85.0,0.0859341431975313,22.66685102001723
0,0,0,0,0,0,210403,0,0,108065728,408,0,26,0,215344,0,0,0,0,0,0,0,86.0,86.0,87.0,0.0859341431975313,22.661851452892627
0,0,0,0,0,0,198285,0,0,101054616,472,0,61,0,198065,0,0,0,0,0,0,0,87.0,86.0,83.0,0.0859341431975313,22.655032490411223
0,0,0,0,0,0,210657,0,0,107826888,400,0,167,0,210387,0,0,0,0,0,0,0,87.0,86.0,84.0,0.0859341431975313,22.6538611891416
0,0,0,0,0,0,191078,0,0,97942784,384,0,33,0,191579,0,0,0,0,0,0,0,87.0,86.0,87.0,0.0859341431975313,22.652043318789957
0,0,0,0,0,0,208297,0,0,106761776,408,0,296,0,208267,0,0,0,0,0,0,0,88.0,87.0,87.0,0.0859341431975313,22.68202828039331
0,0,0,0,0,0,206698,0,0,105813304,416,0,80,0,206821,0,0,0,0,0,0,0,88.0,87.0,90.0,0.0859341431975313,22.664537833334386
0,0,0,0,0,0,193414,0,0,99131704,344,0,128,0,193616,0,0,0,0,0,0,0,88.0,87.0,89.0,0.0859341431975313,22.63813393414944
0,0,0,0,0,0,202373,0,0,103612072,392,0,483,0,202367,0,0,0,0,0,0,0,88.0,87.0,85.0,0.0859341431975313,22.697183385334355
0,0,0,0,0,0,202182,0,0,103404736,392,0,473,0,201962,0,0,0,0,0,0,0,88.0,87.0,89.0,0.0859341431975313,22.68746817137597
0,0,0,0,0,0,196066,0,0,100500240,400,0,166,0,195860,0,0,0,0,0,0,0,90.0,88.0,91.0,0.0859341431975313,22.652850724520736
0,0,0,0,0,0,203480,0,0,104180984,408,0,164,0,204104,0,0,0,0,0,0,0,89.0,88.0,88.0,0.0859341431975313,22.66683475693308
0,0,0,0,0,0,205038,0,0,104979464,408,0,112,0,204881,0,0,0,0,0,0,0,88.0,88.0,89.0,0.0859341431975313,22.715706993646823
0,0,0,0,0,0,201489,0,0,103162208,488,0,117,0,201647,0,0,0,0,0,0,0,88.0,88.0,88.0,0.0859341431975313,22.669323931728485
0,0,0,0,0,0,191803,0,0,98203280,312,0,129,0,191628,0,0,0,0,0,0,0,88.0,88.0,92.0,0.0859341431975313,22.70598689281089
0,0,0,0,0,0,209220,0,0,107120656,488,0,143,0,209439,0,0,0,0,0,0,0,89.0,88.0,89.0,0.0859341431975313,22.67439497649128
0,0,0,0,0,0,194084,0,0,99370672,384,0,73,0,194039,0,0,0,0,0,0,0,89.0,89.0,88.0,0.0859341431975313,22.669711292202027
0,0,0,0,0,0,202621,0,0,103733664,400,0,194,0,202450,0,0,0,0,0,0,0,89.0,89.0,88.0,0.0859341431975313,22.64468071719946
0,0,0,0,0,0,202487,0,0,103681520,408,0,156,0,202490,0,0,0,0,0,0,0,90.0,89.0,90.0,0.0859341431975313,22.674896573626324
0,0,0,0,0,0,193414,0,0,98910472,392,0,223,0,193073,0,0,0,0,0,0,0,91.0,89.0,91.0,0.0859341431975313,22.65289313253426
0,0,0,0,0,0,203918,0,0,104530336,416,0,120,0,204277,0,0,0,0,0,0,0,92.0,89.0,91.0,0.0859341431975313,22.66320071851538
0,0,0,0,0,0,199909,0,0,102353152,432,0,103,0,199902,0,0,0,0,0,0,0,91.0,90.0,91.0,0.0859341431975313,22.69085493959448
0,0,0,0,0,0,200413,0,0,102711704,424,0,167,0,200618,0,0,0,0,0,0,0,92.0,90.0,95.0,0.0859341431975313,22.69085493959448
0,0,0,0,0,0,204723,0,0,104738824,400,0,124,0,204568,0,0,0,0,0,0,0,91.0,90.0,89.0,0.0859341431975313,22.72293865074013
0,0,0,0,0,0,201525,0,0,103158376,392,0,110,0,201525,0,0,0,0,0,0,0,91.0,91.0,92.0,0.0859341431975313,22.72479577411576
0,0,0,0,0,0,190055,0,0,97223784,352,0,110,0,190054,0,0,0,0,0,0,0,91.0,91.0,93.0,0.0859341431975313,22.72479577411576
0,0,0,0,0,0,204990,0,0,104976096,408,0,172,0,204836,0,0,0,0,0,0,0,91.0,91.0,93.0,0.0859341431975313,22.70433541298397
0,0,0,0,0,0,205594,0,0,105264128,416,0,99,0,205590,0,0,0,0,0,0,0,92.0,91.0,94.0,0.0859341431975313,22.666278418996395
0,0,0,0,0,0,198578,0,0,101679600,440,0,188,0,198592,0,0,0,0,0,0,0,93.0,92.0,93.0,0.0859341431975313,22.6800303288981
0,0,0,0,0,0,193851,0,0,99311392,392,0,237,0,193974,0,0,0,0,0,0,0,93.0,92.0,94.0,0.0859341431975313,22.73698118967493
0,0,0,0,0,0,209785,0,0,107494832,352,0,124,0,209783,0,0,0,0,0,0,0,93.0,92.0,94.0,0.0859341431975313,22.73698118967493
0,0,0,0,0,0,210186,0,0,107550744,472,0,130,0,210185,0,0,0,0,0,0,0,93.0,92.0,92.0,0.0859341431975313,22.671995716032267
0,0,0,0,0,0,192260,0,0,98462440,328,0,361,0,192305,0,0,0,0,0,0,0,93.0,92.0,92.0,0.0859341431975313,22.74151342541818
0,0,0,0,0,0,204174,0,0,104516056,440,0,155,0,204132,0,0,0,0,0,0,0,92.0,92.0,92.0,0.0859341431975313,22.684380184389337
0,0,0,0,0,0,201027,0,0,102733240,424,0,92,0,200650,0,0,0,0,0,0,0,91.0,92.0,89.0,0.0859341431975313,22.684380184389337
0,0,0,0,0,0,210474,0,0,107894080,392,0,53,0,210730,0,0,0,0,0,0,0,90.0,92.0,88.0,0.0859341431975313,22.664891448857944
0,0,0,0,0,0,191185,0,0,97885440,408,0,104,0,191128,0,0,0,0,0,0,0,88.0,92.0,88.0,0.0859341431975313,22.664891448857944
0,0,0,0,0,0,207959,0,0,106479784,400,0,155,0,208015,0,0,0,0,0,0,0,89.0,91.0,91.0,0.0859341431975313,22.6451105836298
0,0,0,0,0,0,202352,0,0,103564552,400,0,268,0,202346,0,0,0,0,0,0,0,90.0,91.0,91.0,0.0859341431975313,22.649201970182386
0,0,0,0,0,0,191892,0,0,98282416,352,0,85,0,191889,0,0,0,0,0,0,0,91.0,91.0,92.0,0.0859341431975313,22.71656328619049
0,0,0,0,0,0,203471,0,0,104197384,400,0,138,0,203433,0,0,0,0,0,0,0,92.0,91.0,91.0,0.0859341431975313,22.65530141451465
0,0,0,0,0,0,208256,0,0,106657824,408,0,137,0,208394,0,0,0,0,0,0,0,91.0,91.0,91.0,0.0859341431975313,22.656125239264775
0,0,0,0,0,0,202905,0,0,103887376,480,0,166,0,202835,0,0,0,0,0,0,0,91.0,91.0,91.0,0.0859341431975313,22.578096806589144
0,0,0,0,0,0,199967,0,0,102569976,384,0,202,0,200315,0,0,0,0,0,0,0,92.0,91.0,91.0,0.0859341431975313,22.559221745845218
0,0,0,0,0,0,197652,0,0,100798944,416,0,194,0,196841,0,0,0,0,0,0,0,92.0,91.0,89.0,0.0859341431975313,22.62501435851389
0,0,0,0,0,0,205618,0,0,105451496,400,0,155,0,205892,0,0,0,0,0,0,0,92.0,91.0,90.0,0.0859341431975313,22.562432046794743
0,0,0,0,0,0,206737,0,0,105795064,408,0,244,0,207074,0,0,0,0,0,0,0,92.0,91.0,94.0,0.0859341431975313,22.566403508668017
0,0,0,0,0,0,206257,0,0,105515384,400,0,152,0,195766,0,0,0,0,0,0,0,92.0,92.0,92.0,0.0859341431975313,22.580033650444893
0,0,0,0,0,0,196185,0,0,100500616,400,0,113,0,206337,0,0,0,0,0,0,0,92.0,92.0,93.0,0.0859341431975313,22.60965122878329
0,0,0,0,0,0,200677,0,0,102770856,400,0,105,0,200676,0,0,0,0,0,0,0,92.0,92.0,90.0,0.0859341431975313,22.606704388196185
0,0,0,0,0,0,205956,0,0,105401712,416,0,165,0,205956,0,0,0,0,0,0,0,92.0,92.0,91.0,0.0859341431975313,22.5377186670653
0,0,0,0,0,0,203220,0,0,104049360,440,0,164,0,203220,0,0,0,0,0,0,0,92.0,92.0,93.0,0.0859341431975313,22.568363191695155
0,0,0,0,0,0,197134,0,0,100954792,328,0,360,0,197174,0,0,0,0,0,0,0,91.0,92.0,89.0,0.0859341431975313,22.568363191695155
0,0,0,0,0,0,207608,0,0,106278864,464,0,167,0,207525,0,0,0,0,0,0,0,91.0,92.0,93.0,0.0859341431975313,22.64051840339442
0,0,0,0,0,0,206813,0,0,105888720,384,0,221,0,206856,0,0,0,0,0,0,0,92.0,92.0,90.0,0.0859341431975313,22.59688424465524
0,0,0,0,0,0,188331,0,0,96351664,368,0,202,0,188267,0,0,0,0,0,0,0,92.0,92.0,92.0,0.0859341431975313,22.59688424465524
0,0,0,0,0,0,204145,0,0,104595256,408,0,109,0,204208,0,0,0,0,0,0,0,92.0,92.0,92.0,0.0859341431975313,22.55514475537336
0,0,0,0,0,0,202425,0,0,103571096,400,0,167,0,202367,0,0,0,0,0,0,0,93.0,92.0,95.0,0.0859341431975313,22.57948176292249
0,0,0,0,0,0,200108,0,0,102559520,400,0,193,0,200244,0,0,0,0,0,0,0,92.0,92.0,91.0,0.0859341431975313,22.61915079384134
0,0,0,0,0,0,195155,0,0,99869080,400,0,172,0,195057,0,0,0,0,0,0,0,91.0,92.0,91.0,0.0859341431975313,22.568233387795804
0,0,0,0,0,0,202922,0,0,103895640,440,0,195,0,202920,0,0,0,0,0,0,0,92.0,92.0,91.0,0.0859341431975313,22.564353743898543
0,0,0,0,0,0,203734,0,0,104167056,432,0,160,0,203564,0,0,0,0,0,0,0,92.0,92.0,90.0,0.0859341431975313,22.564353743898543
0,0,0,0,0,0,196737,0,0,100836488,408,0,41,0,196863,0,0,0,0,0,0,0,92.0,92.0,94.0,0.0859341431975313,22.59126517606417
0,0,0,0,0,0,203629,0,0,104240448,392,0,146,0,199589,0,0,0,0,0,0,0,91.0,92.0,90.0,0.0859341431975313,22.56172925270424
0,0,0,0,0,0,205965,0,0,105471144,416,0,117,0,210239,0,0,0,0,0,0,0,91.0,92.0,92.0,0.0859341431975313,22.556300383219536
0,0,0,0,0,0,199597,0,0,102193560,392,0,107,0,199597,0,0,0,0,0,0,0,92.0,92.0,91.0,0.0859341431975313,22.588162489706068
0,0,0,0,0,0,169031,0,0,86544104,416,0,75,0,168872,0,0,0,0,0,0,0,89.0,91.0,89.0,0.0859341431975313,22.58180030148564
