Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0.0,0.0,0.0,0.0,0.0,0.0,20842.0,0.0,0.0,10674400.0,400.0,0.0,0.0,0.0,10423.0,10400.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,20.0,0.0859341431975313,18.637172047678558
0.0,0.0,0.0,0.0,0.0,0.0,22307.0,0.0,0.0,11419200.0,416.0,0.0,0.0,0.0,11174.0,11144.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,17.0,0.0859341431975313,18.635200312355565
0.0,0.0,0.0,0.0,0.0,0.0,22109.0,0.0,0.0,11319616.0,424.0,0.0,0.0,0.0,11049.0,11056.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,16.0,0.0859341431975313,18.654220617118785
0.0,0.0,0.0,0.0,0.0,0.0,22061.0,0.0,0.0,11295464.0,416.0,0.0,0.0,0.0,11044.0,11020.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,19.0,0.0859341431975313,18.6464494460244
0.0,0.0,0.0,0.0,0.0,0.0,21658.0,0.0,0.0,11082792.0,408.0,0.0,0.0,0.0,10829.0,10819.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,38.0,0.0859341431975313,18.63638243727864
0.0,0.0,0.0,0.0,0.0,0.0,21739.0,0.0,0.0,11144968.0,392.0,0.0,0.0,0.0,10878.0,10876.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,19.0,0.0859341431975313,18.63631403674413
0.0,0.0,0.0,0.0,0.0,0.0,21151.0,0.0,0.0,10819112.0,432.0,0.0,0.0,0.0,10578.0,10565.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,19.0,0.0859341431975313,18.63631403674413
0.0,0.0,0.0,0.0,0.0,0.0,22106.0,0.0,0.0,11312184.0,424.0,0.0,0.0,0.0,11045.0,11052.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,17.0,0.0859341431975313,18.63712582139214
0.0,0.0,0.0,0.0,0.0,0.0,21726.0,0.0,0.0,11127208.0,440.0,0.0,0.0,0.0,10864.0,10864.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,21.0,18.0,0.0859341431975313,18.637206532807912
0.0,0.0,0.0,0.0,0.0,0.0,21723.0,0.0,0.0,11117704.0,432.0,0.0,0.0,0.0,10871.0,10844.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,21.0,40.0,0.0859341431975313,18.637206532807912
