etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0,0,0,0,0,0,0,179051,0,143296368,472,0,0,0,179289,0,0,0,0,0,0,0
0,0,0,0,0,0,0,339715,0,271680168,952,0,0,0,335996,0,0,0,0,0,0,0
0,0,0,0,0,0,0,181190,0,145051816,472,0,0,0,181189,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174635,0,139708600,480,0,0,0,174578,0,0,0,0,0,0,0
0,0,0,0,0,0,0,167928,0,134286032,400,0,0,0,159832,0,0,0,0,0,0,0
0,0,0,0,0,0,0,159196,0,127411808,600,0,0,0,167553,0,0,0,0,0,0,0
0,0,0,0,0,0,0,167581,0,134081456,464,0,0,0,167521,0,0,0,0,0,0,0
0,0,0,0,0,0,0,341007,0,272783760,936,0,0,0,340975,0,0,0,0,0,0,0
0,0,0,0,0,0,0,178180,0,142683184,472,0,0,0,178282,0,0,0,0,0,0,0
0,0,0,0,0,0,0,342216,0,274284360,1040,0,0,0,342691,0,0,0,0,0,0,0
0,0,0,0,0,0,0,345563,0,276097168,968,0,0,0,345312,0,0,0,0,0,0,0
0,0,0,0,0,0,0,162155,0,129692600,456,0,0,0,162016,0,0,0,0,0,0,0
0,0,0,0,0,0,0,344467,0,275701768,992,0,0,0,344679,0,0,0,0,0,0,0
0,0,0,0,0,0,0,336954,0,269445872,880,0,0,0,336827,0,0,0,0,0,0,0
0,0,0,0,0,0,0,341851,0,273424696,1008,0,0,0,341744,0,0,0,0,0,0,0
0,0,0,0,0,0,0,345087,0,276212584,936,0,0,0,345280,0,0,0,0,0,0,0
0,0,0,0,0,0,0,348744,0,276023216,960,0,0,0,348509,0,0,0,0,0,0,0
0,0,0,0,0,0,0,160656,0,128557424,464,0,0,0,160612,0,0,0,0,0,0,0
0,0,0,0,0,0,0,171801,0,137516824,464,0,0,0,172017,0,0,0,0,0,0,0
0,0,0,0,0,0,0,176383,0,141106480,480,0,0,0,176299,0,0,0,0,0,0,0
0,0,0,0,0,0,0,168711,0,134969008,456,0,0,0,168710,0,0,0,0,0,0,0
0,0,0,0,0,0,0,176249,0,140999312,472,0,0,0,176249,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174525,0,132913272,600,0,0,0,166043,0,0,0,0,0,0,0
0,0,0,0,0,0,0,160498,0,134928120,456,0,0,0,168719,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174038,0,139233808,472,0,0,0,173952,0,0,0,0,0,0,0
0,0,0,0,0,0,0,170090,0,136277960,456,0,0,0,170428,0,0,0,0,0,0,0
0,0,0,0,0,0,0,176590,0,141158960,480,0,0,0,176618,0,0,0,0,0,0,0
0,0,0,0,0,0,0,343829,0,274692304,984,0,0,0,344291,0,0,0,0,0,0,0
0,0,0,0,0,0,0,169163,0,135565552,472,0,0,0,168864,0,0,0,0,0,0,0
0,0,0,0,0,0,0,172762,0,138209904,472,0,0,0,172576,0,0,0,0,0,0,0
0,0,0,0,0,0,0,342876,0,274301848,936,0,0,0,342917,0,0,0,0,0,0,0
0,0,0,0,0,0,0,174754,0,139803168,472,0,0,0,174730,0,0,0,0,0,0,0
0,0,0,0,0,0,0,170328,0,136235840,432,0,0,0,170367,0,0,0,0,0,0,0
0,0,0,0,0,0,0,338184,0,270595192,976,0,0,0,338106,0,0,0,0,0,0,0
0,0,0,0,0,0,0,163957,0,131065416,464,0,0,0,163883,0,0,0,0,0,0,0
