etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0,0,0,0,116504,0,0,0,0,270322888,480,116480,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111974,0,0,0,0,257204416,416,111989,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111513,0,0,0,0,260972272,384,111493,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113089,0,0,0,0,261988552,448,112815,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114189,0,0,0,0,265031936,400,114422,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,107784,0,0,0,0,250060480,432,107647,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111650,0,0,0,0,259029664,408,111698,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114478,0,0,0,0,265589640,416,114793,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112403,0,0,0,0,260775232,480,112150,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,107730,0,0,0,0,249933368,400,107487,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114198,0,0,0,0,264941400,400,114318,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,114698,0,0,0,0,266100856,376,114801,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110892,0,0,0,0,257208960,440,110865,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110842,0,0,0,0,257134224,368,110817,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110716,0,0,0,0,256996352,448,110814,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,118134,0,0,0,0,273638800,448,118150,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,106129,0,0,0,0,246442456,408,106114,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110719,0,0,0,0,256864376,408,110740,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,116861,0,0,0,0,271018864,424,116720,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,107086,0,0,0,0,248511240,384,107142,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,117054,0,0,0,0,271541592,456,116932,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,111642,0,0,0,0,258961912,416,111681,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110155,0,0,0,0,255788240,448,110209,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,110955,0,0,0,0,256885008,360,110834,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,112334,0,0,0,0,260732192,480,112420,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,108151,0,0,0,0,251037016,408,108069,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,113173,0,0,0,0,262566632,416,113258,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,109714,0,0,0,0,254537928,384,109698,0,0,0,0,0,0,0,0,0,0,signature_a
0,0,0,0,108201,0,0,0,0,251070440,384,108255,0,0,0,0,0,0,0,0,0,0,signature_a
