Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,0.0,250010.0,16.0,1.0,20.0,169.0,0.0,353005632.0,267864.0,0.0,0.0,0.0,0.0,268048.0,0.0,68.0,0.0,0.0,34.0,150.0
0.0,0.0,0.0,210120.0,16.0,2.0,21.0,158.0,0.0,287367568.0,275024.0,0.0,0.0,0.0,0.0,214187.0,0.0,65.0,0.0,0.0,33.0,137.0
0.0,0.0,0.0,222967.0,14.0,0.0,20.0,144.0,0.0,351221592.0,242504.0,0.0,0.0,0.0,0.0,217791.0,0.0,69.0,0.0,0.0,31.0,130.0
0.0,0.0,0.0,271114.0,14.0,1.0,20.0,161.0,0.0,391265656.0,255456.0,0.0,0.0,0.0,0.0,262352.0,0.0,69.0,0.0,0.0,32.0,128.0
0.0,0.0,0.0,263088.0,13.0,1.0,21.0,162.0,0.0,393470368.0,244584.0,0.0,0.0,0.0,0.0,269494.0,0.0,71.0,0.0,0.0,30.0,135.0
0.0,0.0,0.0,263762.0,12.0,1.0,23.0,171.0,0.0,368830304.0,285528.0,0.0,0.0,0.0,0.0,262617.0,0.0,132.0,0.0,0.0,29.0,135.0
0.0,0.0,3.0,263023.0,18.0,2.0,20.0,250.0,0.0,390243024.0,582816.0,0.0,0.0,0.0,0.0,264817.0,0.0,95.0,0.0,0.0,31.0,171.0
0.0,0.0,0.0,270570.0,17.0,1.0,18.0,187.0,0.0,396893000.0,284656.0,0.0,0.0,0.0,0.0,268570.0,0.0,69.0,0.0,0.0,30.0,177.0
0.0,0.0,0.0,270821.0,14.0,3.0,19.0,185.0,0.0,387101448.0,330704.0,0.0,0.0,0.0,0.0,267693.0,0.0,76.0,0.0,0.0,33.0,150.0
0.0,0.0,1.0,264631.0,17.0,3.0,17.0,186.0,0.0,374351576.0,375656.0,0.0,0.0,0.0,0.0,260112.0,0.0,69.0,0.0,0.0,35.0,174.0
0.0,0.0,3.0,264888.0,15.0,0.0,18.0,191.0,0.0,385674992.0,280664.0,0.0,0.0,0.0,0.0,264718.0,0.0,73.0,0.0,0.0,32.0,177.0
0.0,0.0,0.0,262971.0,11.0,0.0,17.0,187.0,0.0,385340840.0,271592.0,0.0,0.0,0.0,0.0,272934.0,0.0,68.0,0.0,0.0,30.0,163.0
0.0,0.0,0.0,201228.0,13.0,0.0,17.0,193.0,0.0,301047768.0,272640.0,0.0,0.0,0.0,0.0,216514.0,0.0,66.0,0.0,0.0,32.0,161.0
0.0,0.0,0.0,260735.0,12.0,1.0,18.0,188.0,0.0,374065544.0,279576.0,0.0,0.0,0.0,0.0,235094.0,0.0,72.0,0.0,0.0,30.0,155.0
0.0,0.0,0.0,265956.0,19.0,1.0,18.0,193.0,0.0,391418728.0,329280.0,0.0,0.0,0.0,0.0,268066.0,0.0,74.0,0.0,0.0,35.0,165.0
0.0,0.0,0.0,262701.0,17.0,3.0,17.0,194.0,0.0,387863864.0,328368.0,0.0,0.0,0.0,0.0,263520.0,0.0,68.0,0.0,0.0,32.0,179.0
0.0,0.0,0.0,261435.0,21.0,2.0,18.0,196.0,0.0,389723384.0,336576.0,0.0,0.0,0.0,0.0,268498.0,0.0,73.0,0.0,0.0,36.0,178.0
0.0,0.0,0.0,260492.0,15.0,1.0,17.0,189.0,0.0,385560808.0,299576.0,0.0,0.0,0.0,0.0,257831.0,0.0,67.0,0.0,0.0,32.0,182.0
0.0,0.0,0.0,260429.0,16.0,1.0,17.0,197.0,0.0,353642920.0,301320.0,0.0,0.0,0.0,0.0,275041.0,0.0,72.0,0.0,0.0,33.0,165.0
0.0,0.0,0.0,205968.0,14.0,3.0,17.0,178.0,0.0,292423560.0,286152.0,0.0,0.0,0.0,0.0,200588.0,0.0,64.0,0.0,0.0,33.0,163.0
0.0,0.0,0.0,219741.0,13.0,0.0,16.0,182.0,0.0,344377952.0,274824.0,0.0,0.0,0.0,0.0,205464.0,0.0,68.0,0.0,0.0,33.0,163.0
0.0,0.0,0.0,274650.0,15.0,1.0,18.0,193.0,0.0,396075384.0,289800.0,0.0,0.0,0.0,0.0,276201.0,0.0,69.0,0.0,0.0,30.0,167.0
0.0,0.0,0.0,264066.0,19.0,1.0,18.0,196.0,0.0,369891808.0,317408.0,0.0,0.0,0.0,0.0,267231.0,0.0,74.0,0.0,0.0,31.0,169.0
0.0,0.0,0.0,238707.0,13.0,0.0,18.0,191.0,0.0,349242096.0,288936.0,0.0,0.0,0.0,0.0,248009.0,0.0,68.0,0.0,0.0,33.0,160.0
0.0,0.0,0.0,203418.0,18.0,0.0,19.0,194.0,0.0,295361504.0,316872.0,0.0,0.0,0.0,0.0,212879.0,0.0,69.0,0.0,0.0,31.0,175.0
0.0,0.0,0.0,216025.0,18.0,1.0,17.0,181.0,0.0,329112608.0,292976.0,0.0,0.0,0.0,0.0,199027.0,0.0,64.0,0.0,0.0,33.0,168.0
0.0,0.0,0.0,264032.0,18.0,1.0,19.0,185.0,0.0,392731648.0,300304.0,0.0,0.0,0.0,0.0,256775.0,0.0,74.0,0.0,0.0,32.0,163.0
0.0,0.0,1.0,266337.0,16.0,1.0,19.0,190.0,0.0,370426424.0,328840.0,0.0,0.0,0.0,0.0,273320.0,0.0,87.0,0.0,0.0,31.0,166.0
0.0,0.0,0.0,263125.0,20.0,1.0,18.0,224.0,0.0,393946264.0,458760.0,0.0,0.0,0.0,0.0,255237.0,0.0,151.0,0.0,0.0,43.0,203.0
0.0,0.0,31.0,260868.0,18.0,2.0,18.0,298.0,0.0,369767800.0,824064.0,0.0,0.0,0.0,0.0,267949.0,0.0,97.0,0.0,0.0,40.0,271.0
0.0,0.0,0.0,244968.0,18.0,4.0,17.0,212.0,0.0,354307224.0,387096.0,0.0,0.0,0.0,0.0,234996.0,0.0,85.0,0.0,0.0,47.0,219.0
0.0,0.0,0.0,258905.0,15.0,1.0,16.0,195.0,0.0,395422376.0,320336.0,0.0,0.0,0.0,0.0,274867.0,0.0,70.0,0.0,0.0,44.0,203.0
0.0,0.0,0.0,270454.0,21.0,1.0,18.0,184.0,0.0,391181800.0,370960.0,0.0,0.0,0.0,0.0,257246.0,0.0,75.0,0.0,0.0,38.0,188.0
0.0,0.0,1.0,265278.0,16.0,0.0,17.0,188.0,0.0,385935880.0,301384.0,0.0,0.0,0.0,0.0,271613.0,0.0,67.0,0.0,0.0,31.0,180.0
0.0,0.0,0.0,260272.0,24.0,0.0,18.0,189.0,0.0,379278912.0,353752.0,0.0,0.0,0.0,0.0,261848.0,0.0,71.0,0.0,0.0,33.0,182.0
0.0,0.0,0.0,273523.0,22.0,1.0,17.0,186.0,0.0,387722496.0,354552.0,0.0,0.0,0.0,0.0,266125.0,0.0,69.0,0.0,0.0,35.0,188.0
0.0,0.0,0.0,260988.0,22.0,4.0,17.0,193.0,0.0,386787184.0,344328.0,0.0,0.0,0.0,0.0,267117.0,0.0,74.0,0.0,0.0,33.0,173.0
0.0,0.0,14.0,266333.0,22.0,3.0,16.0,201.0,0.0,392392512.0,546208.0,0.0,0.0,0.0,0.0,261492.0,0.0,74.0,0.0,0.0,37.0,216.0
0.0,0.0,0.0,260960.0,19.0,1.0,18.0,221.0,0.0,388097944.0,432352.0,0.0,0.0,0.0,0.0,273678.0,0.0,89.0,0.0,0.0,44.0,219.0
0.0,0.0,0.0,266457.0,19.0,2.0,17.0,190.0,0.0,379198784.0,386720.0,0.0,0.0,0.0,0.0,260865.0,0.0,72.0,0.0,0.0,43.0,216.0
0.0,0.0,0.0,272044.0,20.0,2.0,19.0,202.0,0.0,391634848.0,427912.0,0.0,0.0,0.0,0.0,267071.0,0.0,82.0,0.0,0.0,44.0,221.0
0.0,0.0,0.0,245662.0,18.0,0.0,17.0,210.0,0.0,358087008.0,309336.0,0.0,0.0,0.0,0.0,259653.0,0.0,66.0,0.0,0.0,42.0,232.0
0.0,0.0,0.0,221352.0,17.0,2.0,17.0,193.0,0.0,271065904.0,319992.0,0.0,0.0,0.0,0.0,249109.0,0.0,69.0,0.0,0.0,33.0,173.0
0.0,0.0,0.0,56.0,16.0,2.0,18.0,179.0,0.0,18160.0,294872.0,0.0,0.0,0.0,0.0,25161.0,0.0,48.0,0.0,0.0,32.0,172.0
0.0,0.0,0.0,70.0,19.0,2.0,17.0,176.0,0.0,19240.0,338216.0,0.0,0.0,0.0,0.0,13.0,0.0,49.0,0.0,0.0,34.0,170.0
0.0,0.0,0.0,56.0,21.0,0.0,18.0,175.0,0.0,21256.0,294864.0,0.0,0.0,0.0,0.0,14.0,0.0,48.0,0.0,0.0,37.0,181.0
0.0,0.0,0.0,56.0,18.0,1.0,18.0,176.0,0.0,17736.0,290112.0,0.0,0.0,0.0,0.0,13.0,0.0,51.0,0.0,0.0,31.0,175.0
0.0,0.0,0.0,96.0,18.0,1.0,17.0,172.0,0.0,29888.0,354312.0,0.0,0.0,0.0,0.0,19.0,0.0,52.0,0.0,0.0,34.0,169.0
0.0,0.0,0.0,145.0,19.0,1.0,18.0,215.0,0.0,20272.0,437888.0,0.0,0.0,0.0,0.0,13.0,0.0,66.0,0.0,0.0,46.0,237.0
0.0,0.0,0.0,103.0,18.0,0.0,17.0,197.0,0.0,22232.0,351936.0,0.0,0.0,0.0,0.0,18.0,0.0,60.0,0.0,0.0,41.0,243.0
0.0,0.0,0.0,137.0,21.0,2.0,19.0,191.0,0.0,33704.0,456912.0,0.0,0.0,0.0,0.0,16.0,0.0,56.0,0.0,0.0,48.0,239.0
0.0,0.0,33.0,107.0,20.0,2.0,17.0,196.0,0.0,23056.0,773480.0,0.0,0.0,0.0,0.0,17.0,0.0,47.0,0.0,0.0,41.0,312.0
0.0,0.0,0.0,108.0,26.0,2.0,17.0,173.0,0.0,49328.0,502064.0,0.0,0.0,0.0,0.0,29.0,0.0,48.0,0.0,0.0,38.0,186.0
0.0,0.0,10.0,69.0,25.0,2.0,18.0,174.0,0.0,28000.0,318296.0,0.0,0.0,0.0,0.0,14.0,0.0,48.0,0.0,0.0,39.0,222.0
0.0,0.0,3.0,74.0,24.0,1.0,18.0,174.0,0.0,38504.0,366768.0,0.0,0.0,0.0,0.0,23.0,0.0,50.0,0.0,0.0,34.0,190.0
0.0,0.0,0.0,96.0,21.0,2.0,17.0,186.0,0.0,165064.0,387816.0,0.0,0.0,0.0,0.0,41.0,0.0,48.0,0.0,0.0,33.0,191.0
0.0,0.0,10.0,100.0,27.0,0.0,17.0,178.0,0.0,21912.0,375264.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,37.0,216.0
0.0,0.0,0.0,104.0,28.0,2.0,18.0,176.0,0.0,26256.0,379464.0,0.0,0.0,0.0,0.0,18.0,0.0,53.0,0.0,0.0,42.0,221.0
0.0,0.0,0.0,159.0,28.0,1.0,17.0,219.0,0.0,26080.0,484456.0,0.0,0.0,0.0,0.0,18.0,0.0,65.0,0.0,0.0,57.0,261.0
0.0,0.0,0.0,125.0,27.0,4.0,18.0,197.0,0.0,25192.0,449688.0,0.0,0.0,0.0,0.0,15.0,0.0,62.0,0.0,0.0,50.0,262.0
0.0,0.0,0.0,135.0,26.0,1.0,17.0,192.0,0.0,24256.0,426736.0,0.0,0.0,0.0,0.0,18.0,0.0,54.0,0.0,0.0,43.0,229.0
0.0,0.0,0.0,97.0,25.0,3.0,17.0,177.0,0.0,86816.0,607248.0,0.0,0.0,0.0,0.0,23.0,0.0,47.0,0.0,0.0,43.0,239.0
0.0,0.0,37.0,118.0,30.0,3.0,18.0,196.0,0.0,66056.0,806008.0,0.0,0.0,0.0,0.0,63.0,0.0,51.0,0.0,0.0,35.0,261.0
0.0,0.0,45.0,146.0,21.0,1.0,17.0,174.0,0.0,87840.0,636632.0,0.0,0.0,0.0,0.0,64.0,0.0,47.0,0.0,0.0,32.0,281.0
0.0,0.0,0.0,89.0,19.0,2.0,17.0,180.0,0.0,73512.0,627432.0,0.0,0.0,0.0,0.0,16.0,0.0,52.0,0.0,0.0,32.0,181.0
0.0,0.0,42.0,91.0,24.0,2.0,17.0,182.0,0.0,55160.0,525336.0,0.0,0.0,0.0,0.0,48.0,0.0,47.0,0.0,0.0,35.0,260.0
0.0,0.0,2.0,79.0,25.0,3.0,17.0,175.0,0.0,37848.0,353128.0,0.0,0.0,0.0,0.0,32.0,0.0,49.0,0.0,0.0,34.0,185.0
0.0,0.0,9.0,103.0,22.0,2.0,17.0,187.0,0.0,61704.0,441784.0,0.0,0.0,0.0,0.0,32.0,0.0,53.0,0.0,0.0,33.0,204.0
0.0,0.0,0.0,129.0,21.0,1.0,18.0,208.0,0.0,19072.0,409960.0,0.0,0.0,0.0,0.0,14.0,0.0,64.0,0.0,0.0,45.0,225.0
0.0,0.0,0.0,126.0,21.0,1.0,18.0,196.0,0.0,24408.0,403088.0,0.0,0.0,0.0,0.0,16.0,0.0,63.0,0.0,0.0,45.0,218.0
0.0,0.0,0.0,126.0,25.0,0.0,17.0,177.0,0.0,28064.0,418152.0,0.0,0.0,0.0,0.0,18.0,0.0,54.0,0.0,0.0,47.0,240.0
0.0,0.0,3.0,81.0,19.0,3.0,18.0,182.0,0.0,49472.0,338664.0,0.0,0.0,0.0,0.0,25.0,0.0,49.0,0.0,0.0,43.0,235.0
0.0,0.0,0.0,66.0,21.0,2.0,17.0,168.0,0.0,25336.0,308496.0,0.0,0.0,0.0,0.0,17.0,0.0,49.0,0.0,0.0,33.0,177.0
0.0,0.0,0.0,71.0,19.0,2.0,17.0,168.0,0.0,26616.0,318448.0,0.0,0.0,0.0,0.0,21.0,0.0,47.0,0.0,0.0,36.0,169.0
0.0,0.0,1.0,61.0,21.0,0.0,17.0,158.0,0.0,35376.0,298744.0,0.0,0.0,0.0,0.0,16.0,0.0,50.0,0.0,0.0,35.0,174.0
0.0,0.0,3.0,92.0,18.0,6.0,16.0,172.0,0.0,84600.0,415296.0,0.0,0.0,0.0,0.0,36.0,0.0,47.0,0.0,0.0,32.0,174.0
0.0,0.0,6.0,119.0,23.0,4.0,16.0,166.0,0.0,337944.0,487528.0,0.0,0.0,0.0,0.0,73.0,0.0,48.0,0.0,0.0,34.0,189.0
0.0,0.0,34.0,105.0,22.0,2.0,16.0,173.0,0.0,40360.0,376592.0,0.0,0.0,0.0,0.0,21.0,0.0,53.0,0.0,0.0,35.0,217.0
0.0,0.0,2.0,158.0,25.0,3.0,17.0,216.0,0.0,106168.0,543464.0,0.0,0.0,0.0,0.0,37.0,0.0,84.0,0.0,0.0,54.0,251.0
