Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,0.0,40.0,5.0,3.0,16.0,143.0,0.0,22496.0,192904.0,0.0,0.0,0.0,0.0,17.0,0.0,42.0,0.0,0.0,30.0,124.0
0.0,0.0,0.0,40.0,4.0,2.0,15.0,138.0,0.0,25136.0,197288.0,0.0,0.0,0.0,0.0,17.0,0.0,38.0,0.0,0.0,29.0,115.0
0.0,0.0,0.0,39.0,6.0,1.0,15.0,146.0,0.0,23144.0,188120.0,0.0,0.0,0.0,0.0,17.0,0.0,41.0,0.0,0.0,30.0,113.0
0.0,0.0,0.0,39.0,4.0,1.0,15.0,138.0,0.0,25184.0,182904.0,0.0,0.0,0.0,0.0,17.0,0.0,38.0,0.0,0.0,26.0,129.0
0.0,0.0,0.0,43.0,5.0,0.0,15.0,140.0,0.0,27920.0,174296.0,0.0,0.0,0.0,0.0,19.0,0.0,41.0,0.0,0.0,29.0,114.0
0.0,0.0,0.0,30.0,4.0,0.0,15.0,137.0,0.0,14064.0,176472.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,0.0,25.0,116.0
0.0,0.0,0.0,39.0,5.0,0.0,15.0,137.0,0.0,20800.0,174152.0,0.0,0.0,0.0,0.0,16.0,0.0,41.0,0.0,0.0,27.0,107.0
0.0,0.0,0.0,27.0,4.0,1.0,15.0,132.0,0.0,18200.0,159640.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,0.0,27.0,109.0
0.0,0.0,0.0,42.0,4.0,1.0,16.0,172.0,0.0,23072.0,243104.0,0.0,0.0,0.0,0.0,19.0,0.0,122.0,0.0,0.0,26.0,112.0
0.0,0.0,0.0,28.0,5.0,1.0,14.0,189.0,0.0,16040.0,173520.0,0.0,0.0,0.0,0.0,10.0,0.0,37.0,0.0,0.0,28.0,114.0
0.0,0.0,0.0,42.0,4.0,1.0,15.0,140.0,0.0,25400.0,188016.0,0.0,0.0,0.0,0.0,17.0,0.0,43.0,0.0,0.0,27.0,113.0
0.0,0.0,0.0,30.0,5.0,1.0,15.0,144.0,0.0,14384.0,184120.0,0.0,0.0,0.0,0.0,10.0,0.0,38.0,0.0,0.0,28.0,123.0
0.0,0.0,0.0,39.0,4.0,1.0,15.0,146.0,0.0,23760.0,191472.0,0.0,0.0,0.0,0.0,15.0,0.0,41.0,0.0,0.0,28.0,118.0
