Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,2.0,83.0,21.0,3.0,17.0,162.0,0.0,30280.0,353552.0,0.0,0.0,0.0,0.0,23.0,0.0,47.0,0.0,0.0,33.0,183.0
0.0,0.0,1.0,72.0,17.0,1.0,17.0,167.0,0.0,32840.0,306472.0,0.0,0.0,0.0,0.0,18.0,0.0,45.0,0.0,0.0,31.0,177.0
0.0,0.0,2.0,81.0,17.0,1.0,19.0,164.0,0.0,47304.0,366560.0,0.0,0.0,0.0,0.0,27.0,0.0,51.0,0.0,0.0,32.0,180.0
0.0,0.0,8.0,99.0,22.0,3.0,18.0,159.0,0.0,63232.0,394464.0,0.0,0.0,0.0,0.0,29.0,0.0,45.0,0.0,0.0,35.0,194.0
0.0,0.0,3.0,84.0,20.0,1.0,19.0,149.0,0.0,51032.0,304176.0,0.0,0.0,0.0,0.0,27.0,0.0,50.0,0.0,0.0,34.0,174.0
0.0,0.0,1.0,88.0,18.0,3.0,19.0,153.0,0.0,60304.0,323024.0,0.0,0.0,0.0,0.0,22.0,0.0,48.0,0.0,0.0,33.0,169.0
0.0,0.0,31.0,126.0,21.0,1.0,19.0,162.0,0.0,64328.0,702432.0,0.0,0.0,0.0,0.0,44.0,0.0,48.0,0.0,0.0,35.0,234.0
0.0,0.0,0.0,71.0,19.0,0.0,21.0,155.0,0.0,22344.0,304816.0,0.0,0.0,0.0,0.0,15.0,0.0,49.0,0.0,0.0,35.0,164.0
0.0,0.0,0.0,73.0,17.0,1.0,20.0,156.0,0.0,21792.0,290376.0,0.0,0.0,0.0,0.0,16.0,0.0,49.0,0.0,0.0,31.0,174.0
