Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts
0.0,0.0,13.0,392.0,62.0,19.0,752.0,491.0,0.0,20106224.0,901256.0,0.0,0.0,0.0,0.0,2062.0,0.0,109.0,0.0,0.0,50.0,1135.0
0.0,0.0,13.0,372.0,60.0,29.0,715.0,465.0,0.0,20554168.0,905200.0,0.0,0.0,0.0,0.0,2064.0,0.0,105.0,0.0,0.0,52.0,1125.0
0.0,0.0,14.0,358.0,60.0,23.0,753.0,476.0,0.0,21280744.0,899776.0,0.0,0.0,0.0,0.0,2003.0,0.0,100.0,0.0,0.0,46.0,1130.0
0.0,0.0,14.0,397.0,42.0,19.0,752.0,478.0,0.0,19885672.0,908560.0,0.0,0.0,0.0,0.0,2120.0,0.0,107.0,0.0,0.0,51.0,1094.0
0.0,0.0,15.0,383.0,47.0,18.0,727.0,469.0,0.0,20387808.0,933920.0,0.0,0.0,0.0,0.0,1970.0,0.0,100.0,0.0,0.0,47.0,1099.0
0.0,0.0,16.0,404.0,43.0,18.0,786.0,492.0,0.0,20089088.0,871656.0,0.0,0.0,0.0,0.0,2094.0,0.0,132.0,0.0,0.0,46.0,1087.0
0.0,0.0,16.0,390.0,45.0,16.0,734.0,469.0,0.0,21239112.0,913952.0,0.0,0.0,0.0,0.0,2060.0,0.0,99.0,0.0,0.0,48.0,1099.0
0.0,0.0,14.0,370.0,58.0,18.0,757.0,483.0,0.0,20501840.0,889568.0,0.0,0.0,0.0,0.0,1955.0,0.0,107.0,0.0,0.0,52.0,1122.0
0.0,0.0,12.0,376.0,70.0,20.0,758.0,487.0,0.0,19855808.0,933728.0,0.0,0.0,0.0,0.0,2068.0,0.0,99.0,0.0,0.0,41.0,1148.0
0.0,0.0,11.0,365.0,70.0,22.0,750.0,477.0,0.0,20790920.0,877856.0,0.0,0.0,0.0,0.0,2102.0,0.0,98.0,0.0,0.0,47.0,1111.0
0.0,0.0,13.0,350.0,53.0,21.0,744.0,458.0,0.0,20854504.0,920848.0,0.0,0.0,0.0,0.0,2095.0,0.0,103.0,0.0,0.0,46.0,1146.0
0.0,0.0,11.0,383.0,53.0,21.0,750.0,480.0,0.0,20312264.0,882920.0,0.0,0.0,0.0,1.0,2060.0,0.0,109.0,0.0,0.0,46.0,1074.0
0.0,0.0,12.0,387.0,57.0,18.0,749.0,490.0,0.0,20597448.0,906136.0,0.0,0.0,0.0,0.0,1968.0,0.0,105.0,0.0,0.0,47.0,1138.0
0.0,0.0,12.0,390.0,47.0,18.0,743.0,484.0,0.0,21547352.0,920096.0,0.0,0.0,0.0,0.0,2095.0,0.0,103.0,0.0,0.0,48.0,1139.0
0.0,0.0,13.0,392.0,61.0,17.0,805.0,485.0,0.0,19788672.0,981272.0,0.0,0.0,0.0,0.0,2044.0,0.0,101.0,0.0,0.0,44.0,1136.0
0.0,0.0,12.0,386.0,55.0,17.0,748.0,448.0,0.0,21139784.0,889424.0,0.0,0.0,0.0,0.0,2039.0,0.0,104.0,0.0,0.0,46.0,1175.0
0.0,0.0,14.0,387.0,61.0,17.0,768.0,489.0,0.0,19949472.0,945904.0,0.0,0.0,0.0,0.0,2064.0,0.0,105.0,0.0,0.0,51.0,1114.0
0.0,0.0,14.0,376.0,52.0,20.0,762.0,513.0,0.0,21263464.0,944040.0,0.0,0.0,0.0,0.0,2065.0,0.0,128.0,0.0,0.0,49.0,1168.0
0.0,0.0,13.0,388.0,45.0,16.0,761.0,491.0,0.0,20133944.0,896816.0,0.0,0.0,0.0,0.0,2072.0,0.0,101.0,0.0,0.0,42.0,1123.0
0.0,0.0,14.0,399.0,44.0,19.0,757.0,494.0,0.0,20888856.0,959064.0,0.0,0.0,0.0,0.0,2104.0,0.0,102.0,0.0,0.0,50.0,1150.0
0.0,0.0,13.0,389.0,46.0,16.0,777.0,479.0,0.0,20878528.0,926424.0,0.0,0.0,0.0,0.0,2057.0,0.0,105.0,0.0,0.0,48.0,1170.0
0.0,0.0,12.0,379.0,47.0,19.0,756.0,508.0,0.0,20525456.0,961808.0,0.0,0.0,0.0,0.0,2107.0,0.0,105.0,0.0,0.0,47.0,1141.0
0.0,0.0,14.0,401.0,45.0,16.0,764.0,519.0,0.0,21054464.0,918176.0,0.0,0.0,0.0,0.0,2034.0,0.0,104.0,0.0,0.0,50.0,1166.0
0.0,0.0,16.0,372.0,48.0,15.0,774.0,485.0,0.0,20117672.0,925384.0,0.0,0.0,0.0,0.0,2004.0,0.0,106.0,0.0,0.0,49.0,1144.0
