etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0.0,0.0,182.0,343.0,150.0,223.0,41.0,4248.0,0.0,48202440.0,3706688.0,0.0,0.0,0.0,0.0,4304.0,0.0,137.0,0.0,0.0,55.0,4413.0,normal
0.0,0.0,136.0,223.0,125.0,214.0,45.0,4724.0,0.0,49423824.0,3319408.0,0.0,0.0,0.0,0.0,4360.0,0.0,138.0,0.0,0.0,59.0,4735.0,normal
0.0,0.0,112.0,146.0,118.0,212.0,41.0,3367.0,0.0,47765632.0,2162760.0,0.0,0.0,0.0,0.0,4193.0,0.0,125.0,0.0,0.0,59.0,3314.0,normal
0.0,0.0,106.0,135.0,119.0,196.0,42.0,4169.0,0.0,44621424.0,2627456.0,0.0,0.0,0.0,0.0,3911.0,0.0,118.0,0.0,0.0,55.0,4141.0,normal
0.0,0.0,112.0,151.0,132.0,198.0,44.0,4041.0,0.0,47920256.0,2595672.0,0.0,0.0,0.0,0.0,4210.0,0.0,122.0,0.0,0.0,55.0,4009.0,normal
0.0,0.0,118.0,149.0,133.0,192.0,47.0,3610.0,0.0,51587576.0,2328584.0,0.0,0.0,0.0,1.0,4506.0,0.0,125.0,0.0,0.0,65.0,3573.0,normal
0.0,0.0,100.0,148.0,133.0,187.0,45.0,3561.0,0.0,39661920.0,2293288.0,0.0,0.0,0.0,0.0,3518.0,0.0,139.0,0.0,0.0,53.0,3510.0,normal
0.0,0.0,83.0,171.0,134.0,150.0,47.0,3290.0,0.0,40661928.0,2099312.0,0.0,0.0,0.0,0.0,3626.0,0.0,151.0,0.0,0.0,56.0,3206.0,normal
0.0,0.0,77.0,188.0,129.0,152.0,41.0,3656.0,0.0,45796576.0,2293728.0,0.0,0.0,0.0,0.0,4047.0,0.0,78.0,0.0,0.0,54.0,3656.0,normal
0.0,0.0,87.0,135.0,174.0,169.0,40.0,2330.0,0.0,52666728.0,1607888.0,0.0,0.0,0.0,0.0,4602.0,0.0,82.0,0.0,0.0,54.0,2332.0,normal
0.0,0.0,61.0,123.0,179.0,175.0,43.0,2242.0,0.0,36648928.0,1506056.0,0.0,0.0,0.0,0.0,3292.0,0.0,136.0,0.0,0.0,50.0,2180.0,normal
0.0,0.0,57.0,124.0,177.0,180.0,40.0,3581.0,0.0,35827736.0,2296720.0,0.0,0.0,0.0,0.0,3220.0,0.0,136.0,0.0,0.0,62.0,3506.0,normal
0.0,0.0,60.0,122.0,189.0,185.0,59.0,2025.0,0.0,37286560.0,2540352.0,0.0,0.0,0.0,0.0,3346.0,0.0,116.0,0.0,0.0,63.0,2094.0,normal
0.0,0.0,56.0,128.0,172.0,197.0,58.0,3092.0,0.0,37017264.0,2071088.0,0.0,0.0,0.0,0.0,3323.0,0.0,204.0,0.0,0.0,52.0,2998.0,normal
0.0,0.0,59.0,125.0,180.0,179.0,41.0,2739.0,0.0,36780760.0,1785512.0,0.0,0.0,0.0,0.0,3303.0,0.0,102.0,0.0,0.0,53.0,2714.0,normal
0.0,0.0,54.0,114.0,167.0,175.0,36.0,1908.0,0.0,35238648.0,1297704.0,0.0,0.0,0.0,0.0,3164.0,0.0,76.0,0.0,0.0,55.0,1888.0,normal
0.0,0.0,58.0,122.0,177.0,179.0,40.0,1993.0,0.0,37144776.0,1356984.0,0.0,0.0,0.0,0.0,3332.0,0.0,80.0,0.0,0.0,48.0,1979.0,normal
0.0,0.0,57.0,123.0,177.0,185.0,39.0,1976.0,0.0,36936272.0,1349168.0,0.0,0.0,0.0,0.0,3326.0,0.0,80.0,0.0,0.0,49.0,1967.0,normal
0.0,0.0,58.0,124.0,177.0,189.0,36.0,2007.0,0.0,37320024.0,1398160.0,0.0,0.0,0.0,0.0,3338.0,0.0,77.0,0.0,0.0,60.0,1996.0,normal
0.0,0.0,53.0,109.0,165.0,194.0,32.0,1962.0,0.0,35995600.0,1335088.0,0.0,0.0,0.0,0.0,3223.0,0.0,113.0,0.0,0.0,55.0,1907.0,normal
0.0,0.0,62.0,120.0,164.0,209.0,33.0,3954.0,0.0,37494760.0,2508192.0,0.0,0.0,0.0,1.0,3356.0,0.0,87.0,0.0,0.0,57.0,3940.0,normal
0.0,0.0,64.0,149.0,160.0,205.0,35.0,2123.0,0.0,37536032.0,2551920.0,0.0,0.0,0.0,0.0,3354.0,0.0,77.0,0.0,0.0,61.0,2221.0,normal
0.0,0.0,56.0,111.0,159.0,204.0,37.0,2022.0,0.0,37421880.0,1365416.0,0.0,0.0,0.0,0.0,3347.0,0.0,79.0,0.0,0.0,54.0,1998.0,normal
0.0,0.0,56.0,120.0,170.0,202.0,36.0,2016.0,0.0,37256576.0,1407744.0,0.0,0.0,0.0,0.0,3342.0,0.0,78.0,0.0,0.0,53.0,2011.0,normal
0.0,0.0,65.0,111.0,155.0,179.0,32.0,1936.0,0.0,36142896.0,1327120.0,0.0,0.0,0.0,0.0,3227.0,0.0,70.0,0.0,0.0,51.0,1925.0,normal
0.0,0.0,66.0,143.0,177.0,191.0,29.0,2068.0,0.0,38357232.0,1477784.0,0.0,0.0,0.0,0.0,3429.0,0.0,71.0,0.0,0.0,59.0,2083.0,normal
0.0,0.0,77.0,109.0,157.0,187.0,39.0,2063.0,0.0,38518008.0,1426920.0,0.0,0.0,0.0,0.0,3431.0,0.0,78.0,0.0,0.0,51.0,2046.0,normal
0.0,0.0,71.0,121.0,178.0,185.0,36.0,2033.0,0.0,37832048.0,1443424.0,0.0,0.0,0.0,0.0,3383.0,0.0,78.0,0.0,0.0,54.0,2038.0,normal
0.0,0.0,71.0,108.0,167.0,198.0,37.0,2097.0,0.0,38443376.0,1475312.0,0.0,0.0,0.0,0.0,3426.0,0.0,110.0,0.0,0.0,58.0,2054.0,normal
