etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0.0,0.0,0.0,0.0,111011.0,0.0,0.0,0.0,0.0,257425728.0,440.0,110961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,17.0,signature_a
0.0,0.0,0.0,0.0,114327.0,0.0,0.0,0.0,0.0,265512736.0,368.0,114322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,20.0,signature_a
0.0,0.0,0.0,0.0,114624.0,0.0,0.0,0.0,0.0,265645800.0,480.0,114578.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,22.0,43.0,signature_a
0.0,0.0,0.0,0.0,113333.0,0.0,0.0,0.0,0.0,262997080.0,424.0,113380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,20.0,signature_a
0.0,0.0,0.0,0.0,110901.0,0.0,0.0,0.0,0.0,257462848.0,408.0,110936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,20.0,signature_a
0.0,0.0,0.0,0.0,106596.0,0.0,0.0,0.0,0.0,247169496.0,408.0,106682.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,17.0,signature_a
0.0,0.0,0.0,0.0,117165.0,0.0,0.0,0.0,0.0,272970648.0,424.0,117466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,16.0,signature_a
0.0,0.0,0.0,0.0,110879.0,0.0,0.0,0.0,0.0,256458560.0,408.0,110613.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,36.0,signature_a
0.0,0.0,0.0,0.0,112530.0,0.0,0.0,0.0,0.0,260905152.0,392.0,112448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,21.0,signature_a
0.0,0.0,0.0,0.0,109896.0,0.0,0.0,0.0,0.0,255024416.0,432.0,109921.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,18.0,signature_a
0.0,0.0,0.0,0.0,113316.0,0.0,0.0,0.0,0.0,262901144.0,432.0,113305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,20.0,signature_a
0.0,0.0,0.0,0.0,111981.0,0.0,0.0,0.0,0.0,259803232.0,432.0,112025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,17.0,signature_a
0.0,0.0,0.0,0.0,114101.0,0.0,0.0,0.0,0.0,264853056.0,384.0,114034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,43.0,signature_a
0.0,0.0,0.0,0.0,112408.0,0.0,0.0,0.0,0.0,260696648.0,408.0,112447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,21.0,signature_a
0.0,0.0,0.0,0.0,111829.0,0.0,0.0,0.0,0.0,259445720.0,400.0,111827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,18.0,signature_a
0.0,0.0,0.0,0.0,116390.0,0.0,0.0,0.0,0.0,270228280.0,408.0,116370.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,22.0,signature_a
0.0,0.0,0.0,0.0,108412.0,0.0,0.0,0.0,0.0,251097400.0,432.0,108412.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,17.0,signature_a
0.0,0.0,0.0,0.0,114861.0,0.0,0.0,0.0,0.0,266661520.0,424.0,114861.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,31.0,signature_a
0.0,0.0,0.0,0.0,108222.0,0.0,0.0,0.0,0.0,251184528.0,432.0,108222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,23.0,22.0,signature_a
0.0,0.0,0.0,0.0,114223.0,0.0,0.0,0.0,0.0,264670368.0,448.0,114285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,21.0,signature_a
0.0,0.0,0.0,0.0,114341.0,0.0,0.0,0.0,0.0,264992280.0,416.0,114143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,22.0,signature_a
0.0,0.0,0.0,0.0,110948.0,0.0,0.0,0.0,0.0,257715776.0,400.0,111065.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,17.0,signature_a
0.0,0.0,0.0,0.0,114274.0,0.0,0.0,0.0,0.0,265279848.0,416.0,114317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,29.0,signature_a
0.0,0.0,0.0,0.0,113083.0,0.0,0.0,0.0,0.0,262253640.0,424.0,113128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,112099.0,0.0,0.0,0.0,0.0,259706976.0,408.0,112042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,108147.0,0.0,0.0,0.0,0.0,251463864.0,360.0,108193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,114662.0,0.0,0.0,0.0,0.0,265977320.0,424.0,114552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,109141.0,0.0,0.0,0.0,0.0,252971624.0,400.0,109162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,28.0,signature_a
0.0,0.0,0.0,0.0,114137.0,0.0,0.0,0.0,0.0,264794552.0,408.0,114185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,21.0,signature_a
0.0,0.0,0.0,0.0,116504.0,0.0,0.0,0.0,0.0,270322888.0,480.0,116480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,19.0,signature_a
0.0,0.0,0.0,0.0,111974.0,0.0,0.0,0.0,0.0,257204416.0,416.0,111989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,18.0,signature_a
0.0,0.0,0.0,0.0,111513.0,0.0,0.0,0.0,0.0,260972272.0,384.0,111493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,21.0,signature_a
0.0,0.0,0.0,0.0,113089.0,0.0,0.0,0.0,0.0,261988552.0,448.0,112815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,22.0,32.0,signature_a
0.0,0.0,0.0,0.0,114189.0,0.0,0.0,0.0,0.0,265031936.0,400.0,114422.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,28.0,signature_a
0.0,0.0,0.0,0.0,107784.0,0.0,0.0,0.0,0.0,250060480.0,432.0,107647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,19.0,signature_a
0.0,0.0,0.0,0.0,111650.0,0.0,0.0,0.0,0.0,259029664.0,408.0,111698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,16.0,signature_a
0.0,0.0,0.0,0.0,114478.0,0.0,0.0,0.0,0.0,265589640.0,416.0,114793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,19.0,signature_a
0.0,0.0,0.0,0.0,112403.0,0.0,0.0,0.0,0.0,260775232.0,480.0,112150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,22.0,19.0,signature_a
0.0,0.0,0.0,0.0,107730.0,0.0,0.0,0.0,0.0,249933368.0,400.0,107487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,22.0,41.0,signature_a
0.0,0.0,0.0,0.0,114198.0,0.0,0.0,0.0,0.0,264941400.0,400.0,114318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,22.0,18.0,signature_a
0.0,0.0,0.0,0.0,114698.0,0.0,0.0,0.0,0.0,266100856.0,376.0,114801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,19.0,signature_a
0.0,0.0,0.0,0.0,110892.0,0.0,0.0,0.0,0.0,257208960.0,440.0,110865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,21.0,signature_a
0.0,0.0,0.0,0.0,110842.0,0.0,0.0,0.0,0.0,257134224.0,368.0,110817.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,22.0,25.0,signature_a
0.0,0.0,0.0,0.0,110716.0,0.0,0.0,0.0,0.0,256996352.0,448.0,110814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,38.0,signature_a
0.0,0.0,0.0,0.0,118134.0,0.0,0.0,0.0,0.0,273638800.0,448.0,118150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,22.0,signature_a
0.0,0.0,0.0,0.0,106129.0,0.0,0.0,0.0,0.0,246442456.0,408.0,106114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,110719.0,0.0,0.0,0.0,0.0,256864376.0,408.0,110740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,22.0,signature_a
0.0,0.0,0.0,0.0,116861.0,0.0,0.0,0.0,0.0,271018864.0,424.0,116720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,18.0,signature_a
0.0,0.0,0.0,0.0,107086.0,0.0,0.0,0.0,0.0,248511240.0,384.0,107142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,39.0,signature_a
0.0,0.0,0.0,0.0,117054.0,0.0,0.0,0.0,0.0,271541592.0,456.0,116932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,111642.0,0.0,0.0,0.0,0.0,258961912.0,416.0,111681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,18.0,signature_a
0.0,0.0,0.0,0.0,110155.0,0.0,0.0,0.0,0.0,255788240.0,448.0,110209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,17.0,signature_a
0.0,0.0,0.0,0.0,110955.0,0.0,0.0,0.0,0.0,256885008.0,360.0,110834.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,25.0,signature_a
0.0,0.0,0.0,0.0,112334.0,0.0,0.0,0.0,0.0,260732192.0,480.0,112420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,36.0,signature_a
0.0,0.0,0.0,0.0,108151.0,0.0,0.0,0.0,0.0,251037016.0,408.0,108069.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,21.0,signature_a
0.0,0.0,0.0,0.0,113173.0,0.0,0.0,0.0,0.0,262566632.0,416.0,113258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,109714.0,0.0,0.0,0.0,0.0,254537928.0,384.0,109698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,17.0,signature_a
0.0,0.0,0.0,0.0,108201.0,0.0,0.0,0.0,0.0,251070440.0,384.0,108255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,113134.0,0.0,0.0,0.0,0.0,262781344.0,424.0,113160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,41.0,signature_a
0.0,0.0,0.0,0.0,112557.0,0.0,0.0,0.0,0.0,260810952.0,416.0,112404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,114080.0,0.0,0.0,0.0,0.0,264688840.0,472.0,114162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,115409.0,0.0,0.0,0.0,0.0,267400088.0,424.0,115409.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,16.0,signature_a
0.0,0.0,0.0,0.0,106466.0,0.0,0.0,0.0,0.0,247183128.0,392.0,106466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,115901.0,0.0,0.0,0.0,0.0,268862112.0,424.0,115887.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,38.0,signature_a
0.0,0.0,0.0,0.0,114104.0,0.0,0.0,0.0,0.0,264013680.0,408.0,114005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,114189.0,0.0,0.0,0.0,0.0,265205992.0,416.0,114198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,109813.0,0.0,0.0,0.0,0.0,255142104.0,408.0,109839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,16.0,signature_a
0.0,0.0,0.0,0.0,113665.0,0.0,0.0,0.0,0.0,263945872.0,408.0,113741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,110477.0,0.0,0.0,0.0,0.0,256242600.0,408.0,110474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,37.0,signature_a
0.0,0.0,0.0,0.0,113353.0,0.0,0.0,0.0,0.0,262931768.0,416.0,113419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,114407.0,0.0,0.0,0.0,0.0,265516712.0,416.0,114372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,113074.0,0.0,0.0,0.0,0.0,262567056.0,416.0,113107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,113021.0,0.0,0.0,0.0,0.0,261620448.0,416.0,113182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,21.0,signature_a
0.0,0.0,0.0,0.0,110195.0,0.0,0.0,0.0,0.0,255888464.0,432.0,110020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,30.0,signature_a
0.0,0.0,0.0,0.0,114091.0,0.0,0.0,0.0,0.0,264680784.0,416.0,114082.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,109524.0,0.0,0.0,0.0,0.0,254102640.0,408.0,109520.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,23.0,17.0,signature_a
0.0,0.0,0.0,0.0,113274.0,0.0,0.0,0.0,0.0,262874824.0,416.0,113424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,111300.0,0.0,0.0,0.0,0.0,258261296.0,408.0,111126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,115440.0,0.0,0.0,0.0,0.0,267787448.0,392.0,115440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,32.0,signature_a
0.0,0.0,0.0,0.0,110743.0,0.0,0.0,0.0,0.0,256923488.0,440.0,110739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,113470.0,0.0,0.0,0.0,0.0,263539576.0,456.0,113467.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,116115.0,0.0,0.0,0.0,0.0,269476904.0,440.0,116123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,108533.0,0.0,0.0,0.0,0.0,251286552.0,400.0,108500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,18.0,signature_a
0.0,0.0,0.0,0.0,114533.0,0.0,0.0,0.0,0.0,265156264.0,416.0,114451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,23.0,30.0,signature_a
0.0,0.0,0.0,0.0,114077.0,0.0,0.0,0.0,0.0,265437648.0,416.0,114169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,21.0,signature_a
0.0,0.0,0.0,0.0,110927.0,0.0,0.0,0.0,0.0,257385688.0,384.0,110958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,107613.0,0.0,0.0,0.0,0.0,249513432.0,440.0,107664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,18.0,signature_a
0.0,0.0,0.0,0.0,116125.0,0.0,0.0,0.0,0.0,269408880.0,424.0,115991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,19.0,signature_a
0.0,0.0,0.0,0.0,113003.0,0.0,0.0,0.0,0.0,262150512.0,408.0,113059.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,30.0,signature_a
0.0,0.0,0.0,0.0,108905.0,0.0,0.0,0.0,0.0,252092432.0,360.0,108859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,23.0,24.0,signature_a
0.0,0.0,0.0,0.0,113393.0,0.0,0.0,0.0,0.0,263532544.0,408.0,113406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,112697.0,0.0,0.0,0.0,0.0,261128656.0,416.0,112620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,17.0,signature_a
0.0,0.0,0.0,0.0,108516.0,0.0,0.0,0.0,0.0,252224968.0,424.0,114146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,23.0,20.0,signature_a
0.0,0.0,0.0,0.0,110739.0,0.0,0.0,0.0,0.0,257186008.0,400.0,105453.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,23.0,26.0,signature_a
0.0,0.0,0.0,0.0,113185.0,0.0,0.0,0.0,0.0,262293192.0,416.0,113026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,23.0,30.0,signature_a
0.0,0.0,0.0,0.0,0.0,0.0,71143.0,0.0,0.0,36455288.0,464.0,0.0,0.0,0.0,0.0,71143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,signature_b
0.0,0.0,0.0,0.0,0.0,0.0,164271.0,0.0,0.0,84137800.0,440.0,0.0,0.0,0.0,0.0,164343.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,signature_b
