Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,class
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory,
0.0,0.0,0.0,432.0,9.0,2.0,61.0,155.0,0.0,19808.0,961672.0,0.0,0.0,0.0,0.0,14.0,0.0,111.0,0.0,0.0,452.0,80.0,14.0,8.0,29.0,0.0859341431975313,24.49150337252067,signature_d
0.0,0.0,0.0,441.0,9.0,4.0,65.0,154.0,0.0,28456.0,978128.0,0.0,0.0,0.0,0.0,16.0,0.0,120.0,0.0,0.0,457.0,82.0,26.0,10.0,30.0,0.0859341431975313,25.01795808999203,signature_d
0.0,0.0,0.0,417.0,10.0,3.0,61.0,144.0,0.0,9512.0,952392.0,0.0,0.0,0.0,0.0,6.0,0.0,116.0,0.0,0.0,446.0,69.0,30.0,12.0,29.0,0.0859341431975313,26.096936743447145,signature_d
0.0,0.0,0.0,441.0,14.0,7.0,62.0,162.0,0.0,9736.0,1029832.0,0.0,0.0,0.0,0.0,7.0,0.0,121.0,0.0,0.0,487.0,82.0,30.0,15.0,32.0,0.0859341431975313,25.2224639575894,signature_d
0.0,0.0,0.0,439.0,8.0,2.0,62.0,150.0,0.0,21288.0,964528.0,0.0,0.0,0.0,0.0,14.0,0.0,117.0,0.0,0.0,457.0,80.0,30.0,17.0,30.0,0.0859341431975313,25.214658053913368,signature_d
0.0,0.0,0.0,456.0,9.0,3.0,63.0,152.0,0.0,20552.0,1015248.0,0.0,0.0,0.0,0.0,14.0,0.0,118.0,0.0,0.0,457.0,84.0,30.0,20.0,30.0,0.0859341431975313,25.559831935901578,signature_d
0.0,0.0,0.0,430.0,9.0,2.0,61.0,156.0,0.0,20320.0,945752.0,0.0,0.0,0.0,0.0,14.0,0.0,113.0,0.0,0.0,444.0,78.0,30.0,22.0,29.0,0.0859341431975313,23.830772191413025,signature_d
0.0,0.0,0.0,448.0,9.0,3.0,64.0,159.0,0.0,22464.0,1011136.0,0.0,0.0,0.0,0.0,15.0,0.0,122.0,0.0,0.0,466.0,88.0,30.0,24.0,30.0,0.0859341431975313,23.834168719154725,signature_d
0.0,0.0,0.0,444.0,9.0,4.0,66.0,155.0,0.0,23352.0,995552.0,0.0,0.0,0.0,0.0,12.0,0.0,120.0,0.0,0.0,466.0,79.0,30.0,27.0,32.0,0.0859341431975313,23.83156523187049,signature_d
0.0,0.0,0.0,409.0,8.0,1.0,68.0,147.0,0.0,3672.0,924992.0,0.0,0.0,0.0,0.0,2.0,0.0,126.0,0.0,0.0,439.0,67.0,30.0,29.0,30.0,0.0859341431975313,23.825052604701263,signature_d
