etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,class
0,0,0,446,9,3,65,160,0,20304,994120,0,0,0,0,14,0,125,0,0,447,83,30.0,30.0,29.0,normal
0,0,0,449,9,2,61,176,0,21232,1002792,0,0,0,0,14,0,127,0,0,487,83,30.0,30.0,32.0,normal
0,0,0,435,8,1,62,156,0,21320,958424,0,0,0,0,14,0,116,0,0,455,78,22.0,28.0,27.0,normal
0,0,0,438,8,1,65,152,0,17544,967424,0,0,0,0,9,0,119,0,0,456,81,12.0,26.0,6.0,normal
0,0,0,431,8,2,56,151,0,10824,960288,0,0,0,0,7,0,111,0,0,460,70,8.0,24.0,5.0,normal
0,0,0,444,8,2,66,166,0,21288,987320,0,0,0,0,14,0,123,0,0,467,82,6.0,22.0,5.0,normal
0,0,0,424,8,1,57,147,0,19888,932232,0,0,0,0,14,0,109,0,0,439,76,6.0,19.0,5.0,normal
0,0,0,439,8,2,61,153,0,11984,976128,0,0,0,0,8,0,117,0,0,461,77,6.0,17.0,8.0,normal
0,0,0,442,8,2,59,159,0,14848,985720,0,0,0,0,9,0,114,0,0,468,78,6.0,15.0,6.0,normal
0,0,29,456,11,7,60,147,0,10056,1388000,0,0,0,0,3,0,115,0,0,457,135,6.0,12.0,5.0,normal
0,0,0,424,12,3,58,151,0,17424,962744,0,0,0,0,12,0,111,0,0,439,87,6.0,9.0,5.0,normal
0,0,0,428,9,0,41,154,0,5232,951480,0,0,0,0,2,0,99,0,0,464,68,6.0,7.0,5.0,normal
0,0,0,448,10,4,42,157,0,20040,991384,0,0,0,0,14,0,96,0,0,469,81,6.0,7.0,7.0,normal
0,0,0,446,9,3,41,159,0,27560,975520,0,0,0,0,16,0,96,0,0,463,83,6.0,6.0,7.0,normal
0,0,0,451,14,6,42,162,0,22672,1021472,0,0,0,0,15,0,97,0,0,472,92,6.0,6.0,6.0,normal
0,0,0,416,11,2,37,150,0,8472,933680,0,0,0,0,6,0,91,0,0,445,75,6.0,6.0,5.0,normal
0,0,0,442,9,2,43,169,0,10664,992064,0,0,0,0,7,0,117,0,0,469,74,6.0,6.0,5.0,normal
0,0,0,447,8,0,50,185,0,21352,988064,0,0,0,0,14,0,132,0,0,462,84,8.0,6.0,25.0,normal
0,0,0,422,9,2,42,156,0,14056,938352,0,0,0,0,10,0,100,0,0,447,75,10.0,7.0,8.0,normal
