Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,class
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory,
0,0,0,448,9,3,64,159,0,22464,1011136,0,0,0,0,15,0,122,0,0,466,88,30.0,24.0,30.0,0.0859341431975313,23.834168719154725,signature_f
0,0,0,444,9,4,66,155,0,23352,995552,0,0,0,0,12,0,120,0,0,466,79,30.0,27.0,32.0,0.0859341431975313,23.83156523187049,signature_f
0,0,0,409,8,1,68,147,0,3672,924992,0,0,0,0,2,0,126,0,0,439,67,30.0,29.0,30.0,0.0859341431975313,23.825052604701263,signature_f
0,0,0,433,11,3,67,163,0,10008,995624,0,0,0,0,6,0,118,0,0,476,81,30.0,30.0,29.0,0.0859341431975313,23.830015262814072,signature_f
0,0,0,436,8,2,68,151,0,17624,973640,0,0,0,0,8,0,123,0,0,450,76,30.0,30.0,29.0,0.0859341431975313,23.831263842496707,signature_f
0,0,0,445,8,1,74,150,0,21592,953280,0,0,0,0,15,0,126,0,0,458,80,30.0,30.0,29.0,0.0859341431975313,23.82987228340909,signature_f
0,0,0,447,9,1,67,166,0,20888,1006832,0,0,0,0,14,0,127,0,0,460,83,30.0,30.0,29.0,0.0859341431975313,23.826944302831397,signature_f
0,0,0,437,146,4,65,158,0,20864,1394720,0,0,0,0,14,0,114,0,0,439,244,30.0,30.0,32.0,0.0859341431975313,23.827434170472195,signature_f
0,0,0,462,75,6,70,163,0,10480,1243888,0,0,0,0,7,0,124,0,0,469,179,30.0,30.0,29.0,0.0859341431975313,23.831860315301164,signature_f
0,0,0,451,76,7,66,172,0,10656,1222944,0,0,0,0,7,0,121,0,0,462,180,30.0,30.0,29.0,0.0859341431975313,23.82779018134707,signature_f
0,0,0,433,36,8,64,157,0,18912,1071856,0,0,0,0,9,0,117,0,0,455,117,30.0,30.0,29.0,0.0859341431975313,23.830974676340016,signature_f
0,0,0,446,9,3,65,160,0,20304,994120,0,0,0,0,14,0,125,0,0,447,83,30.0,30.0,29.0,0.0859341431975313,23.83159423163689,signature_f
0,0,0,449,9,2,61,176,0,21232,1002792,0,0,0,0,14,0,127,0,0,487,83,30.0,30.0,32.0,0.0859341431975313,23.833262332797503,signature_f
0,0,0,435,8,1,62,156,0,21320,958424,0,0,0,0,14,0,116,0,0,455,78,22.0,28.0,27.0,0.0859341431975313,23.83103291416685,signature_f
0,0,0,438,8,1,65,152,0,17544,967424,0,0,0,0,9,0,119,0,0,456,81,12.0,26.0,6.0,0.0859341431975313,23.825815986447736,signature_f
0,0,0,431,8,2,56,151,0,10824,960288,0,0,0,0,7,0,111,0,0,460,70,8.0,24.0,5.0,0.0859341431975313,23.82683169840061,signature_f
0,0,0,444,8,2,66,166,0,21288,987320,0,0,0,0,14,0,123,0,0,467,82,6.0,22.0,5.0,0.0859341431975313,23.8266247554792,signature_f
0,0,0,424,8,1,57,147,0,19888,932232,0,0,0,0,14,0,109,0,0,439,76,6.0,19.0,5.0,0.0859341431975313,23.827802910319264,signature_f
