Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value
etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,cpu.1min,cpu.5min,cpu.5sec,res.memory,pool.memory
0,0,0,0,0,0,165971,0,0,85037296,440,0,0,0,0,166271,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.59441967981985
0,0,0,0,0,0,166652,0,0,85357944,424,0,0,0,0,166362,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594221421525585
0,0,0,0,0,0,168526,0,0,86249272,440,0,0,0,0,168577,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.594179521114924
0,0,0,0,0,0,161714,0,0,82888400,368,0,0,0,0,161239,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.5943913853965
0,0,0,0,0,0,166344,0,0,85070832,440,0,0,0,0,166820,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.59546697975725
0,0,0,0,0,0,167600,0,0,85831248,432,0,0,0,0,167581,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.59493296736769
0,0,0,0,0,0,169564,0,0,86808568,424,0,0,0,0,169433,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59493296736769
0,0,0,0,0,0,165993,0,0,84979840,432,0,0,0,0,166093,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.60036147940233
0,0,0,0,0,0,161200,0,0,82532432,456,0,0,0,0,161207,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59643082181101
0,0,0,0,0,0,169028,0,0,86556040,472,0,0,0,0,169037,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.594682501652443
0,0,0,0,0,0,169450,0,0,86758440,432,0,0,0,0,169388,0,0,0,0,0,0,4.0,5.0,5.0,0.0859341431975313,18.594993734477644
0,0,0,0,0,0,162833,0,0,83381320,432,0,0,0,0,162849,0,0,0,0,0,0,4.0,5.0,4.0,0.0859341431975313,18.594612404872507
0,0,0,0,0,0,167615,0,0,85797360,448,0,0,0,0,167728,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59530967421454
0,0,0,0,0,0,166995,0,0,85519208,424,0,0,0,0,166856,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.595194189981022
0,0,0,0,0,0,167321,0,0,85543120,432,0,0,0,0,167198,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594264109893604
0,0,0,0,0,0,168274,0,0,86274064,440,0,0,0,0,168563,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594352719575497
0,0,0,0,0,0,157926,0,0,80869048,400,0,0,0,0,157864,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59498499196664
0,0,0,0,0,0,166176,0,0,85081248,440,0,0,0,0,166047,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.594423008585544
0,0,0,0,0,0,166276,0,0,85140608,384,0,0,0,0,166356,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.594968641166407
0,0,0,0,0,0,170992,0,0,87505736,504,0,0,0,0,170991,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594968641166407
0,0,0,0,0,0,166045,0,0,85041040,416,0,0,0,0,166024,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.593806232983603
0,0,0,0,0,0,159253,0,0,81559520,408,0,0,0,0,159268,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.593605445957134
0,0,0,0,0,0,171437,0,0,87747592,416,0,0,0,0,171436,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.59525842565282
0,0,0,0,0,0,160611,0,0,82233896,456,0,0,0,0,160610,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594466656447704
0,0,0,0,0,0,165578,0,0,84817960,400,0,0,0,0,165540,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59515875180153
0,0,0,0,0,0,173250,0,0,88540736,472,0,0,0,0,173181,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.59456898140301
0,0,0,0,0,0,159481,0,0,81531992,408,0,0,0,0,159250,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.595151908001853
0,0,0,0,0,0,166966,0,0,85402504,432,0,0,0,0,166715,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.595464848246827
0,0,0,0,0,0,166706,0,0,85585816,416,0,0,0,0,167159,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.595305933978487
0,0,0,0,0,0,165253,0,0,84645176,408,0,0,0,0,165322,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.594966923656656
0,0,0,0,0,0,158651,0,0,81281144,464,0,0,0,0,158691,0,0,0,0,0,0,5.0,5.0,5.0,0.0859341431975313,18.594966923656656
0,0,0,0,0,0,168682,0,0,86344536,488,0,0,0,0,168784,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.593596942209395
0,0,0,0,0,0,165361,0,0,84641544,400,0,0,0,0,165336,0,0,0,0,0,0,5.0,5.0,6.0,0.0859341431975313,18.59511273886504
0,0,0,0,0,0,174427,0,0,89317176,480,0,0,0,0,171786,0,0,0,0,0,0,5.0,5.0,4.0,0.0859341431975313,18.59511273886504
0,0,0,0,0,0,162494,0,0,83217384,368,0,0,0,0,164314,0,0,0,0,0,0,4.0,5.0,5.0,0.0859341431975313,18.594612962974
